DATE,med_days_on_mkt,median_listing_price
2016-07-01,26.0,439888.0
2016-08-01,29.5,429925.0
2016-09-01,33.5,429474.5
2016-10-01,37.0,439000.0
2016-11-01,47.0,432425.0
2016-12-01,52.0,429950.0
2017-01-01,48.0,437497.5
2017-02-01,31.0,461495.0
2017-03-01,19.5,482027.5
2017-04-01,17.0,497750.0
2017-05-01,13.0,499875.0
2017-06-01,16.0,499975.0
2017-07-01,22.0,499900.0
2017-08-01,24.0,487500.0
2017-09-01,35.0,489950.0
2017-10-01,35.5,495000.0
2017-11-01,41.5,495000.0
2017-12-01,50.0,495000.0
2018-01-01,44.5,499000.0
2018-02-01,26.5,522475.0
2018-03-01,22.0,550000.0
2018-04-01,23.0,567444.0
2018-05-01,20.5,574975.0
2018-06-01,23.0,579800.0
2018-07-01,29.0,568762.5
2018-08-01,30.5,554500.0
2018-09-01,36.0,549950.0
2018-10-01,37.5,557000.0
2018-11-01,45.0,550000.0
2018-12-01,59.0,550000.0
2019-01-01,64.0,564400.0
2019-02-01,45.5,592495.0
2019-03-01,37.0,608231.4286
2019-04-01,27.5,627940.0
2019-05-01,29.0,629500.0
2019-06-01,34.0,619000.0
2019-07-01,37.5,604944.0
2019-08-01,41.0,599542.8571
2019-09-01,42.5,599000.0
2019-10-01,43.0,587475.0
2019-11-01,49.0,580000.0
2019-12-01,62.5,582000.0
2020-01-01,67.0,599600.0
2020-02-01,38.0,600000.0
2020-03-01,29.5,615157.5
2020-04-01,31.5,599972.5
2020-05-01,36.0,610000.0
2020-06-01,35.0,625355.0
2020-07-01,34.5,629875.0
2020-08-01,33.0,625000.0
2020-09-01,35.0,628207.5
2020-10-01,35.0,624950.0
2020-11-01,42.5,629000.0
2020-12-01,50.0,627450.0
2021-01-01,53.0,665000.0
2021-02-01,25.5,672386.0
2021-03-01,20.0,680335.5
2021-04-01,21.5,679000.0
2021-05-01,28.0,679900.0
2021-06-01,26.0,686925.0
2021-07-01,30.0,695000.0
2021-08-01,28.5,675000.0
